x,y,RockType
3.962784,45.179533,Mafic
3.963621,45.173771,Mafic
3.9651,45.173001,Mafic
3.97905,45.176695,Mafic
3.957601,45.169017,Mafic
3.97693,45.167691,Mafic
3.973583,45.163497,Mafic
4.007367,45.174293,Felsic
4.003405,45.169774,Felsic
4.018834,45.173484,Felsic
4.030981,45.16846,Felsic
4.054968,45.174957,Other
4.046121,45.166346,Other
4.003646,45.153552,Felsic
4.021078,45.160271,Mafic
4.03234,45.1587,Felsic
4.031261,45.155884,Mafic
4.019177,45.153271,Mafic
4.048145,45.153753,Mafic
4.06008,45.163867,Other
4.084344,45.163872,Mafic
4.112582,45.17122,Other
4.122218,45.160955,Mafic
4.109663,45.158459,Other
4.101589,45.152158,Other
4.195705,45.145741,Mafic
4.136666,45.138578,Mafic
4.130479,45.143561,Mafic
4.064166,45.146331,Felsic
4.065135,45.130865,Mafic
4.064241,45.13547,Mafic
4.069018,45.141023,Felsic
4.053706,45.136225,Felsic
4.05555,45.132386,Felsic
4.053391,45.137241,Mafic
4.085661,45.137507,Other
4.095215,45.138523,Mafic
4.09679,45.139982,Mafic
4.03887,45.147179,Mafic
4.029233,45.150204,Mafic
4.024316,45.146526,Mafic
4.034028,45.135976,Mafic
4.034211,45.139913,Mafic
4.011849,45.136177,Mafic
3.981772,45.142409,Mafic
3.966277,45.143858,Mafic
3.963342,45.152328,Mafic
3.977605,45.148975,Mafic
3.97731,45.133842,Mafic
4.003624,45.128232,Mafic
4.053058,45.115672,Felsic
4.046231,45.113348,Felsic
4.042276,45.12101,Mafic
4.01357,45.114145,Mafic
3.960829,45.110675,Mafic
4.062368,45.12676,Mafic
4.030383,45.121113,Mafic
4.03061,45.119625,Mafic
4.034157,45.126269,Mafic
4.03511,45.124697,Mafic
4.008079,45.119633,Mafic
4.068587,45.128442,Mafic
4.070284,45.128549,Mafic
4.070699,45.127139,Mafic
4.072509,45.126873,Mafic
4.071604,45.124984,Mafic
4.073791,45.122696,Mafic
4.078248,45.120237,Felsic
4.083938,45.115896,Felsic
4.082795,45.115599,Mafic
4.079495,45.108226,Mafic
4.067822,45.11114,Mafic
4.049492,45.102567,Felsic
4.061957,45.093176,Felsic
4.074465,45.100023,Felsic
4.0325,45.098018,Felsic
4.035203,45.095174,Felsic
4.045697,45.095511,Mafic
4.020236,45.101452,Felsic
4.032388,45.111201,Mafic
4.031166,45.11022,Mafic
4.035254,45.11016,Mafic
4.030779,45.103368,Mafic
4.038869,45.105777,Mafic
4.035287,45.10197,Mafic
4.021323,45.097002,Felsic
4.016123,45.098371,Mafic
4.027812,45.102047,Mafic
4.113722,45.124634,Mafic
4.099192,45.125281,Mafic
4.105749,45.116762,Felsic
4.109022,45.113257,Felsic
4.101141,45.114163,Felsic
4.104562,45.119509,Mafic
4.089,45.097549,Felsic
4.106744,45.105513,Felsic
4.127475,45.10718,Felsic
4.12743,45.097043,Felsic
4.1187,45.094193,Felsic
4.083428,45.087972,Felsic
4.070554,45.088461,Felsic
4.090396,45.081881,Felsic
4.119557,45.088673,Felsic
4.125705,45.085872,Felsic
4.125164,45.082104,Felsic
4.107426,45.088631,Felsic
4.07798,45.09711,Felsic
4.084068,45.092547,Felsic
4.082489,45.098489,Felsic
4.105036,45.098436,Felsic
4.053613,45.083085,Other
4.064285,45.082714,Felsic
4.063308,45.086322,Felsic
4.06917,45.079583,Felsic
4.058708,45.070868,Felsic
4.063894,45.076229,Felsic
4.082684,45.074955,Felsic
4.082518,45.071717,Felsic
4.045376,45.067271,Mafic
4.044555,45.068948,Mafic
4.045626,45.071596,Mafic
4.044468,45.073252,Mafic
4.046439,45.073707,Mafic
4.037748,45.069855,Felsic
4.043329,45.08191,Felsic
4.018803,45.069744,Felsic
3.991561,45.068699,Mafic
3.97678,45.07551,Mafic
3.974246,45.077085,Mafic
3.983486,45.08327,Mafic
3.977909,45.081678,Mafic
3.989311,45.087354,Felsic
3.996501,45.079735,Felsic
3.973705,45.081353,Other
4.004432,45.089034,Felsic
4.01568,45.085977,Felsic
4.006385,45.099327,Mafic
3.981549,45.099282,Mafic
3.980534,45.103723,Mafic
3.959668,45.096523,Felsic
3.98382,45.106889,Felsic
4.172303,45.135007,Felsic
4.204237,45.11541,Felsic
4.165608,45.108413,Felsic
4.147903,45.113705,Felsic
4.148298,45.104377,Felsic
4.159317,45.120004,Mafic
4.20491,45.112565,Mafic
4.160031,45.103602,Mafic
4.1722,45.080846,Felsic
4.167674,45.092708,Felsic
4.196763,45.080698,Felsic
4.132691,45.084878,Felsic
4.137228,45.078721,Felsic
4.195578,45.061637,Felsic
4.147201,45.058288,Felsic
4.14273,45.062666,Felsic
4.134429,45.068274,Felsic
4.130793,45.054832,Felsic
4.165434,45.050441,Felsic
4.120296,45.052128,Felsic
4.119819,45.066857,Felsic
4.115116,45.072937,Felsic
4.117641,45.079617,Felsic
4.107525,45.081955,Felsic
